double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,start_time,end_time
FALSE,15,6,32,383.759585,147271.4191,383.759585,136.5775174,18653.41825,136.5775174,1.68E+12,1.68E+12
FALSE,15,6,32,111.1629053,12357.19152,111.1629053,163.7957791,26829.05725,163.7957791,1.68E+12,1.68E+12
FALSE,15,6,64,566.3937353,320801.8634,566.3937353,437.0487088,191011.5738,437.0487088,1.68E+12,1.68E+12
FALSE,15,6,64,67.81720219,4599.172913,67.81720219,1.827756063,3.340692224,1.827756063,1.68E+12,1.68E+12
FALSE,15,6,64,337.4074072,113843.7584,337.4074072,309.6761502,95899.31799,309.6761502,1.68E+12,1.68E+12
FALSE,15,6,64,71.61736813,5129.047417,71.61736813,339.7808811,115451.0471,339.7808811,1.68E+12,1.68E+12
FALSE,15,6,64,655.2976709,429415.0375,655.2976709,123.7296115,15309.01677,123.7296115,1.68E+12,1.68E+12
FALSE,15,7,16,46.77032719,2187.463505,46.77032719,148.6309787,22091.16783,148.6309787,1.68E+12,1.68E+12
FALSE,15,7,16,67.08514156,4500.416218,67.08514156,45.5482205,2074.640391,45.5482205,1.68E+12,1.68E+12
FALSE,15,7,16,58.32146969,3401.393827,58.32146969,4.905642375,24.06532711,4.905642375,1.68E+12,1.68E+12
FALSE,15,7,16,200.8693213,40348.48422,200.8693213,70.15685763,4921.984672,70.15685763,1.68E+12,1.68E+12
FALSE,15,7,16,57.52361813,3308.966642,57.52361813,161.7791775,26172.50228,161.7791775,1.68E+12,1.68E+12
FALSE,15,7,32,449.3621241,201926.3185,449.3621241,145.534299,21180.23219,145.534299,1.68E+12,1.68E+12
FALSE,15,7,32,146.2136866,21378.44214,146.2136866,65.27380644,4260.669807,65.27380644,1.68E+12,1.68E+12
FALSE,15,7,32,318.0545069,101158.6693,318.0545069,98.73009981,9747.632609,98.73009981,1.68E+12,1.68E+12
FALSE,15,7,32,423.9900537,179767.5657,423.9900537,132.6439236,17594.41047,132.6439236,1.68E+12,1.68E+12
FALSE,15,7,32,77.85955563,6062.110402,77.85955563,343.9730252,118317.4421,343.9730252,1.68E+12,1.68E+12
FALSE,15,7,64,452.6004053,204847.1269,452.6004053,60.74621309,3690.102405,60.74621309,1.68E+12,1.68E+12
FALSE,15,7,64,494.8826319,244908.8193,494.8826319,205.9754666,42425.89284,205.9754666,1.68E+12,1.68E+12
FALSE,15,7,64,1094.160952,1197188.189,1094.160952,150.0714084,22521.42762,150.0714084,1.68E+12,1.68E+12
